ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 23.6666 166.9998 23.6666 166.9998 8.804561e+03 0.54 228.42 225.55 2001-09-01-00 NaN NaN	
2 0 22.0000 278.6664 22.0000 278.6664 2.547179e+04 0.64 217.05 206.81 2001-09-01-00 NaN NaN	
3 0 19.6666 260.3331 20.0000 260.3331 2.585396e+04 0.67 217.02 207.48 2001-09-01-00 NaN NaN	
4 0 19.0000 261.6664 19.0000 261.6664 9.087363e+03 0.39 225.46 212.83 2001-09-01-00 NaN NaN	
5 0 18.3333 350.6663 18.3333 350.6663 1.434221e+04 0.66 216.42 204.80 2001-09-01-00 NaN NaN	
6 0 14.6667 270.9997 14.6667 270.6664 5.316136e+03 NaN 222.20 212.83 2001-09-01-00 NaN NaN	
7 0 13.3333 266.6664 13.6667 266.6664 8.015078e+03 NaN 231.13 228.23 2001-09-01-00 NaN NaN	
8 0 13.0000 122.3332 13.0000 122.3332 1.071412e+04 0.00 230.65 228.23 2001-09-01-00 NaN NaN	
9 0 10.3333 275.3330 10.3333 274.9997 2.298554e+04 0.46 221.38 204.80 2001-09-01-00 NaN NaN	
10 0 7.6667 285.3330 7.6667 285.3330 5.446074e+03 0.00 222.71 212.17 2001-09-01-00 NaN NaN	
11 0 7.3333 167.6665 7.3333 167.6665 2.452486e+04 0.74 226.03 220.20 2001-09-01-00 NaN NaN	
12 0 5.3333 87.6666 5.3333 87.6666 5.471406e+03 0.00 229.73 225.55 2001-09-01-00 NaN NaN	
13 0 3.6667 287.3330 3.6667 287.3330 6.855967e+03 0.00 230.91 228.23 2001-09-01-00 NaN NaN	
14 0 2.0000 298.9997 2.0000 298.9997 1.235555e+04 NaN 223.25 218.19 2001-09-01-00 NaN NaN	
15 0 1.0000 289.3330 1.0000 289.3330 9.615116e+03 0.58 225.84 209.49 2001-09-01-00 NaN NaN	
16 0 -1.0000 284.6664 -0.6667 284.6664 1.098927e+04 0.00 220.11 212.83 2001-09-01-00 NaN NaN	
17 0 -2.0000 70.6666 -2.0000 70.3333 3.020479e+04 0.66 223.09 206.81 2001-09-01-00 NaN NaN	
18 0 -1.0000 297.9997 -1.0000 297.9997 5.494242e+03 NaN 220.70 214.84 2001-09-01-00 NaN NaN	
19 0 -2.3333 291.6664 -2.3333 291.6664 5.491290e+03 NaN 226.39 223.54 2001-09-01-00 NaN NaN	
20 0 -10.6667 19.0000 -10.6667 19.0000 6.747355e+03 0.00 222.87 219.53 2001-09-01-00 NaN NaN	
21 0 -11.3333 292.6664 -11.3333 292.3330 8.086775e+03 NaN 231.80 230.24 2001-09-01-00 NaN NaN	
22 0 -22.6666 229.3331 -22.3333 229.3331 7.615294e+03 NaN 227.34 222.87 2001-09-01-00 NaN NaN	
23 0 -28.3333 307.6664 -28.3333 307.6664 9.688848e+03 0.65 225.13 218.19 2001-09-01-00 NaN NaN	
24 3 19.3333 151.6665 19.3333 151.6665 1.166430e+04 0.48 226.15 215.51 2001-09-01-00 43.75 56.3	
24 3 20.3333 152.3332 20.3333 152.3332 6.446532e+03 0.00 228.63 225.55 2001-09-01-03 NaN NaN	
25 3 15.3333 267.9997 15.3333 267.9997 2.517667e+04 0.42 217.17 208.15 2001-09-01-00 24.71 -90.0	
25 3 15.0000 267.9997 14.6667 267.9997 4.512674e+04 0.79 224.41 210.83 2001-09-01-03 NaN NaN	
26 3 13.3333 170.3332 13.3333 170.3332 8.020585e+03 0.00 225.55 220.20 2001-09-01-00 73.23 -170.5	
26 3 13.0000 168.3332 13.0000 168.3332 1.204180e+04 0.53 223.77 216.85 2001-09-01-03 NaN NaN	
27 3 13.0000 274.9997 13.0000 274.9997 6.689358e+03 0.00 218.72 210.16 2001-09-01-00 27.48 116.6	
27 3 13.6667 274.6664 13.6667 274.6664 9.348080e+03 0.96 218.19 209.49 2001-09-01-03 NaN NaN	
28 3 12.0000 312.6664 12.0000 312.6664 1.075186e+04 0.46 224.46 215.51 2001-09-01-00 12.35 90.0	
28 3 12.3333 312.6664 12.3333 312.6664 8.054269e+03 0.62 224.77 218.19 2001-09-01-03 NaN NaN	
29 3 9.6667 37.3333 9.6667 37.6666 1.489425e+04 0.73 231.21 227.56 2001-09-01-00 12.35 -90.0	
29 3 9.3333 37.3333 9.3333 37.6666 6.779344e+03 NaN 230.91 228.90 2001-09-01-03 NaN NaN	
30 3 6.0000 301.3330 6.0000 301.3330 5.465951e+03 NaN 219.69 213.50 2001-09-01-00 50.93 -104.0	
30 3 4.6667 300.9997 4.6667 300.9997 9.585327e+03 0.80 220.67 214.84 2001-09-01-03 NaN NaN	
31 0 21.6666 78.9999 21.6666 78.9999 6.383694e+03 0.00 225.55 223.54 2001-09-01-03 NaN NaN	
32 0 20.3333 101.9999 20.3333 101.9999 3.347621e+04 0.35 221.51 210.16 2001-09-01-03 NaN NaN	
33 0 18.3333 108.3332 18.3333 107.9999 7.816869e+03 NaN 227.89 220.20 2001-09-01-03 NaN NaN	
34 0 16.3333 96.9999 16.3333 97.3332 5.271194e+03 NaN 227.73 220.20 2001-09-01-03 NaN NaN	
